Date,Open,Close,High,Low,Volume
2021-08-23,4777.73,4835.88,4843.82,4764.01,167579093.0
2021-08-24,4844.59,4888.39,4906.2,4842.75,197883163.0
2021-08-25,4890.52,4898.16,4899.77,4865.76,189448016.0
2021-08-26,4892.2,4801.61,4892.2,4798.7,197617387.0
2021-08-27,4794.97,4827.04,4863.47,4793.59,183310211.0
2021-08-30,4847.03,4813.27,4849.16,4787.2,219635757.0
2021-08-31,4803.09,4805.61,4821.76,4740.75,235118658.0
2021-09-01,4804.69,4869.46,4906.4,4763.3,326721080.0
2021-09-02,4865.82,4869.41,4892.7,4845.62,267858013.0
2021-09-03,4875.07,4843.06,4886.55,4828.7,268091896.0
2021-09-06,4841.06,4933.73,4944.45,4837.79,240507245.0
2021-09-07,4932.98,4992.83,5005.96,4915.61,244178519.0
